LOCAL HEALTH UNIT,OPERATION NAME,ADDRESS,CITY,STATE,ZIP,MUNICIPALITY,COUNTY,VENDOR TYPE,CREATION DATE,LOCATION
WESTCHESTER,GRBSO LLC,1935 CENTRAL PARK  AVENUE,YONKERS,NY,10710,YONKERS,WESTCHESTER,OTHER,07/10/2023,"1935 CENTRAL PARK  AVENUE
YONKERS, NY 10710
(40.964794755, -73.839214125)"
NYC,MEIR & COMPANY INC.,170 AVENUE A,NEW YORK,NY,10009,MANHATTAN,NEW YORK CITY,CONVENIENCE STORE,07/10/2023,"170 AVENUE A
NEW YORK, NY 10009
(40.72827488200005, -73.98173816199994)"
NYC,2676 7TH AVE GROCERY INC,2626 7TH AVENUE,NEW YORK,NY,10039,MANHATTAN,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"2626 7TH AVENUE
NEW YORK, NY 10039
(40.825584048, -73.936424612)"
NYC,CACHET DELI  FOOD CORP.,1425 MACOMBS ROAD,BRONX,NY,10452,BRONX,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"1425 MACOMBS ROAD
BRONX, NY 10452
(40.841281293, -73.917814081)"
WESTCHESTER,STOP & SHOP SUPERMARKET CO.,1831 EAST MAIN STREET,PEEKSKILL,NY,10566,PEEKSKILL,WESTCHESTER,GROCERY SUPERMARKET,07/10/2023,"1831 EAST MAIN STREET
PEEKSKILL, NY 10566
(41.294841455, -73.895279334)"
GENEVA DO,QUICK SHOPPE,2 WATER STREET,DUNDEE,NY,14837,STARKEY,YATES,CONVENIENCE/GAS,07/10/2023,"2 WATER STREET
DUNDEE, NY 14837
(42.523613918, -76.977287194)"
SUFFOLK,BP,1501 STRAIGHT PATH,WYANDANCH,NY,11798,BABYLON,SUFFOLK,GAS STATION,07/10/2023,"1501 STRAIGHT PATH
WYANDANCH, NY 11798
(40.749384119, -73.362679376)"
NASSAU,"BAYVILLE DELI & PIZZERIA / R. F. J. DELI II, INC.",261 BAYVILLE AVENUE,BAYVILLE,NY,11709,OYSTER BAY,NASSAU,DELICATESSEN,07/10/2023,"261 BAYVILLE AVENUE
BAYVILLE, NY 11709
(40.907396572, -73.549890441)"
NYC,ACTIVE CONVENIENCE & DELI INC,2962 JEROME  AVENUE,BRONX,NY,10468,BRONX,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"2962 JEROME  AVENUE
BRONX, NY 10468
(40.872798674, -73.889430861)"
CHEMUNG,DANDY MINI MART #75 - BEAVER DAMS,179 STATE ROUTE 414,BEAVER DAMS,NY,14812,CATLIN,CHEMUNG,CONVENIENCE STORE,07/10/2023,"179 STATE ROUTE 414
BEAVER DAMS, NY 14812
(42.23790208, -76.958683979)"
NYC,79 AVE A DELI & GROCERY INC,79 AVENUE A,NEW YORK,NY,10009,MANHATTAN,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"79 AVENUE A
NEW YORK, NY 10009
(40.72508204800005, -73.98443428499996)"
OSWEGO,DOLLAR GENERAL HASTINGS,1896 US ROUTE 11,HASTINGS,NY,13076,HASTINGS,OSWEGO,CONVENIENCE STORE,07/10/2023,"1896 US ROUTE 11
HASTINGS, NY 13076
(43.369403066, -76.1525244)"
DUTCHESS,INNIS DELI,174 INNIS AVENUE,POUGHKEEPSIE,NY,12601,POUGHKEEPSIE,DUTCHESS,DELICATESSEN,07/10/2023,"174 INNIS AVENUE
POUGHKEEPSIE, NY 12601
(41.708474169, -73.903639779)"
OSWEGO,HEAGERTY'S HOT SPOT,202 W FIRST STREET,OSWEGO,NY,13126,OSWEGO,OSWEGO,OTHER,07/10/2023,"202 W FIRST STREET
OSWEGO, NY 13126
(43.456001195, -76.511194788)"
NYC,CROSS BRONX SERVICE STATION CORP.,1730 CROSS BRONX EXPY,BRONX,NY,10472,BRONX,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"1730 CROSS BRONX EXPY
BRONX, NY 10472
(40.83554744300005, -73.87056084999995)"
OSWEGO,SPEEDY'S 101,2023  STATE ROUTE 104,PARISH,NY,13131,PARISH,OSWEGO,CONVENIENCE/GAS,07/10/2023,"2023  STATE ROUTE 104
PARISH, NY 13131
(43.458686799, -76.115907503)"
NYC,"HMW SMOKE & CONVENIENCE + PLUS, CORP",20513 JAMAICA AVENUE,QUEENS,NY,11423,QUEENS,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"20513 JAMAICA AVENUE
QUEENS, NY 11423
(40.7139083, -73.754571068)"
ONEIDA,FASTRAC,384 NORTH GENESEE  STREET,UTICA,NY,13502,UTICA,ONEIDA,CONVENIENCE/GAS,07/10/2023,"384 NORTH GENESEE  STREET
UTICA, NY 13502
(43.115944882, -75.211065108)"
ALBANY,SMOKE RITE II,115 SOUTH PEARL STREET,ALBANY,NY,12202,ALBANY,ALBANY,TOBACCO RETAIL,07/10/2023,"115 SOUTH PEARL STREET
ALBANY, NY 12202
(42.646301469, -73.754961329)"
NIAGARA,"SANDHU 8721 NFB, INC.",8721 NIAGARA FALLS BOULEVARD,NIAGARA FALLS,NY,14304,NIAGARA FALLS,NIAGARA,CONVENIENCE/GAS,07/10/2023,"8721 NIAGARA FALLS BOULEVARD
NIAGARA FALLS, NY 14304
(43.09140626, -78.963086036)"
NYC,M A N BRONXWOOD DELI CORP,871 EAST 220TH STREET,BRONX,NY,10467,BRONX,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"871 EAST 220TH STREET
BRONX, NY 10467
(40.882630018, -73.856912681)"
NYC,"PARIKH, SHAILESH",S/E/C WEST 47TH ST AND 6TH AVENUE,NEW YORK,NY,10036,MANHATTAN,NEW YORK CITY,STAND,07/10/2023,"S/E/C WEST 47TH ST AND 6TH AVENUE
NEW YORK, NY 10036
(40.75803001, -73.981770013)"
GLENS FALLS DO,PUTORTI'S BROADWAY MARKET,155 BROADWAY,WHITEHALL,NY,12887,WHITEHALL,WASHINGTON,GROCERY SUPERMARKET,07/10/2023,"155 BROADWAY
WHITEHALL, NY 12887
(43.550218858, -73.404276079)"
DUTCHESS,BEER UNIVERSE,208 ROUTE 44,MILLERTON,NY,12546,NORTHEAST,DUTCHESS,LIQUOR/BEVERAGE STORE,07/10/2023,"208 ROUTE 44
MILLERTON, NY 12546
(41.952031447000024, -73.49424910399995)"
ONONDAGA,"MIRABITO HOLDINGS, INC.",2052 RT. 5W TURNPIKE,CAMILLUS,NY,13031,CAMILLUS,ONONDAGA,CONVENIENCE/GAS,07/10/2023,
NASSAU,SUNRISE SMOKE SHOP,33 SUNRISE HIGHWAY,MASSAPEQUA,NY,11758,OYSTER BAY,NASSAU,CONVENIENCE STORE,07/10/2023,"33 SUNRISE HIGHWAY
MASSAPEQUA, NY 11758
(40.681468281, -73.43119146)"
45,STEWART'S SHOP #495,177 SOUTH BROADWAY,SARATOGA SPRINGS,NY,12866,SARATOGA SPGS.,SARATOGA,CONVENIENCE STORE,07/10/2023,"177 SOUTH BROADWAY
SARATOGA SPRINGS, NY 12866
(43.072814445, -73.788069931)"
ONONDAGA,STEWARTS SHOPS,7667 MORGAN ROAD,LIVERPOOL,NY,13090,CLAY,ONONDAGA,CONVENIENCE/GAS,07/10/2023,"7667 MORGAN ROAD
LIVERPOOL, NY 13090
(43.14161407, -76.207521035)"
NYC,BEST DELI AND JUICE BAR CORP,1127 MCDONALD AVENUE,BROOKLYN,NY,11230,BROOKLYN,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"1127 MCDONALD AVENUE
BROOKLYN, NY 11230
(40.625713747, -73.976007706)"
ONONDAGA,MR. PUFF SMOKE SHOP,6430 KIRKVILLE ROAD,EAST SYRACUSE,NY,13057,DEWITT,ONONDAGA,TOBACCO RETAIL,07/10/2023,"6430 KIRKVILLE ROAD
EAST SYRACUSE, NY 13057
(43.074853133, -76.076020541)"
NYC,AMERICAN QUICK SHOP INC.,29-24 36TH AVENUE,LONG ISLAND CITY,NY,11106,QUEENS,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"29-24 36TH AVENUE
LONG ISLAND CITY, NY 11106
(40.75691945, -73.93075247)"
ONEIDA,FASTRAC # 235,24 MAIN STREET,CAMDEN,NY,13316,CAMDEN,ONEIDA,CONVENIENCE/GAS,07/10/2023,"24 MAIN STREET
CAMDEN, NY 13316
(43.333531783, -75.748461129)"
HERKIMER DO,JOHNSTOWN GULF,100 SOUTH COMRIE AVENUE,JOHNSTOWN,NY,12095,JOHNSTOWN,FULTON,CONVENIENCE/GAS,07/10/2023,"100 SOUTH COMRIE AVENUE
JOHNSTOWN, NY 12095
(43.001910249, -74.358005903)"
ONONDAGA,DOLLAR GENERAL STORE #19245,4141 SOUTH SALINA STREET,SYRACUSE,NY,13205,SYRACUSE,ONONDAGA,DISCOUNT STORE,07/10/2023,"4141 SOUTH SALINA STREET
SYRACUSE, NY 13205
(43.008193156, -76.141282877)"
SCHENECTADY,MOHAWK PETROLEUM (MOBIL),3497 STATE STREET,SCHENECTADY,NY,12304,SCHENECTADY,SCHENECTADY,CONVENIENCE/GAS,07/10/2023,"3497 STATE STREET
SCHENECTADY, NY 12304
(42.771680743, -73.893694819)"
ERIE,CONSUMERS BEVERAGES,81 YOUNG STREET,TONAWANDA  CITY,NY,14150,TONAWANDA,ERIE,LIQUOR/BEVERAGE STORE,07/10/2023,"81 YOUNG STREET
TONAWANDA  CITY, NY 14150
(43.019571506, -78.874329226)"
CLINTON,MOBIL MART EXIT 36,4319 ROUTE 22 ROUTE,"PLATTSBURGH, NY",NY,12901,PLATTSBURGH,CLINTON,CONVENIENCE/GAS,07/10/2023,"4319 ROUTE 22 ROUTE
PLATTSBURGH, NY, NY 12901
(44.659619524, -73.482992795)"
NYC,PEOPLES FOOD MARKET INC,304 8TH  AVENUE,NEW YORK,NY,10001,NEW YORK CITY,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"304 8TH  AVENUE
NEW YORK, NY 10001
(40.746738161, -73.997223645)"
NYC,PUFF & STUFF SMOKE INC,66-24 FOREST AVENUE,RIDGEWOOD,NY,11385,QUEENS,NEW YORK CITY,TOBACCO RETAIL,07/10/2023,"66-24 FOREST AVENUE
RIDGEWOOD, NY 11385
(40.706926301, -73.903230407)"
NYC,"TIRTH CARDS & GIFTS, INC.",75-20 ASTORIA BOULEVARD,FLUSHING,NY,11370,QUEENS,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"75-20 ASTORIA BOULEVARD
FLUSHING, NY 11370
(40.76512835, -73.893194671)"
CLINTON,FAMILY DOLLAR - CORNELIA,316 CORNELIA STREET,PLATTSBURGH,NY,12901,PLATTSBURGH,CLINTON,DISCOUNT STORE,07/10/2023,"316 CORNELIA STREET
PLATTSBURGH, NY 12901
(44.699354062, -73.478590871)"
ERIE,SPEEDWAY #9886,2530 HAMBURG TURNPIKE,LACKAWANNA,NY,14218,LACKAWANNA,ERIE,CONVENIENCE/GAS,07/10/2023,"2530 HAMBURG TURNPIKE
LACKAWANNA, NY 14218
(42.816197366, -78.845348544)"
ERIE,SPEEDWAY #9984,3105 WILLIAM  STREET,CHEEKTOWAGA,NY,14227,CHEEKTOWAGA,ERIE,GAS STATION,07/10/2023,"3105 WILLIAM  STREET
CHEEKTOWAGA, NY 14227
(42.884790964, -78.754954999)"
NYC,"FOUR NIECES, LLC",2247 UTICA AVENUE,BROOKLYN,NY,11234,BROOKLYN,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"2247 UTICA AVENUE
BROOKLYN, NY 11234
(40.616921131, -73.926241581)"
NASSAU,MIRIAM & AYA DELI CORP.,345 HEMPSTEAD TPK,HEMPSTEAD W,NY,11552,HEMPSTEAD,NASSAU,DELICATESSEN,07/10/2023,"345 HEMPSTEAD TPK
HEMPSTEAD W, NY 11552
(40.704880949, -73.651887641)"
HORNELL DO,KWIK FILL M0406-CANISTEO,12  WEST MAIN STREET,CANISTEO,NY,14823,CANISTEO,STEUBEN,CONVENIENCE/GAS,07/10/2023,"12  WEST MAIN STREET
CANISTEO, NY 14823
(42.271117006, -77.605760869)"
NASSAU,BELLMORE BEVERAGE / BELLMORE DISTRIBUTORS INC.,1377A NEWBRIDGE ROAD,N BELLMORE,NY,11710,HEMPSTEAD,NASSAU,LIQUOR/BEVERAGE STORE,07/10/2023,"1377A NEWBRIDGE ROAD
N BELLMORE, NY 11710
(40.686272579, -73.540584181)"
NASSAU,HOLLYWOOD DELI / HOLLYWOOD DELI INC.,503 S FRANKLIN STREET,HEMPSTEAD,NY,11550,HEMPSTEAD,NASSAU,DELICATESSEN,07/10/2023,"503 S FRANKLIN STREET
HEMPSTEAD, NY 11550
(40.689881952, -73.623113238)"
SARANAC LAKE DO,STEWART'S SHOP #148 - TICONDEROGA,416 MONTCALM STREET,TICONDEROGA,NY,12883,TICONDEROGA,ESSEX,CONVENIENCE/GAS,07/10/2023,"416 MONTCALM STREET
TICONDEROGA, NY 12883
(43.848758647, -73.422663741)"
NYC,"NAHSHAL, RIYADH M",539 PARK PLACE,BROOKLYN,NY,11238,BROOKLYN,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"539 PARK PLACE
BROOKLYN, NY 11238
(40.675024567, -73.960188541)"
SUFFOLK,TOWN & COUNTRY DELI,85 N. COUNTRY RD.,MIILLER PLACE,NY,11764,BROOKHAVEN,SUFFOLK,DELICATESSEN,07/10/2023,"85 N. COUNTRY RD.
MIILLER PLACE, NY 11764
(40.958239018, -73.004355278)"
MONROE,DELTA-SONIC CAR WASH #1813,718 EAST MAIN STREET,ROCHESTER,NY,14605,ROCHESTER,MONROE,CONVENIENCE STORE,07/10/2023,"718 EAST MAIN STREET
ROCHESTER, NY 14605
(43.160587011, -77.592955836)"
NYC,MOUNT EVEREST MARKET & DELI INC,56-09 MYRTLE AVENUE,RIDGEWOOD,NY,11385,QUEENS,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"56-09 MYRTLE AVENUE
RIDGEWOOD, NY 11385
(40.700274506, -73.905869952)"
SUFFOLK,CARD DEN,4554 SUNRISE HWY.,OAKDALE,NY,11769,ISLIP,SUFFOLK,STATIONERY STORE,07/10/2023,"4554 SUNRISE HWY.
OAKDALE, NY 11769
(40.753554777, -73.117039228)"
CANTON DO,ON-A-ROLL DELI,50 NORTH MAIN STREET,MASSENA,NY,13660,MASSENA,ST.LAWRENCE,CONVENIENCE STORE,07/10/2023,"50 NORTH MAIN STREET
MASSENA, NY 13660
(44.935528936, -74.894849367)"
NASSAU,7 ELEVEN (STORE # 37058A ) / KUNI INC.,150 MERRICK RD,MERRICK,NY,11566,HEMPSTEAD,NASSAU,CONVENIENCE STORE,07/10/2023,"150 MERRICK RD
MERRICK, NY 11566
(40.654407097000046, -73.55418457299999)"
NYC,"7 ELEVEN, INC.",31-31 THOMSON AVENUE,LONG ISLAND CITY,NY,11101,QUEENS,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"31-31 THOMSON AVENUE
LONG ISLAND CITY, NY 11101
(40.744981231, -73.934210257)"
NASSAU,"J & Y FOOD MARKET / J & Y FOOD MARKET, IN",124 PARK AVENUE,ROOSEVELT,NY,11575,HEMPSTEAD,NASSAU,GROCERY SUPERMARKET,07/10/2023,"124 PARK AVENUE
ROOSEVELT, NY 11575
(40.683292142, -73.584873571)"
WESTCHESTER,CRYSTAL GROCERY LTD.,14 EAST  POST ROAD,WHITE PLAINS,NY,10601,WHITE PLAINS,WESTCHESTER,GROCERY SUPERMARKET,07/10/2023,"14 EAST  POST ROAD
WHITE PLAINS, NY 10601
(41.025934872, -73.770719894)"
NYC,NEW WAY CONVENIENCE CORP,10513 177TH STREET,QUEENS,NY,11433,QUEENS,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"10513 177TH STREET
QUEENS, NY 11433
(40.703222589, -73.78088949)"
ULSTER,MOBIL MART,8112 ROUTE 209,ELLENVILLE,NY,12428,WAWARSING,ULSTER,CONVENIENCE STORE,07/10/2023,"8112 ROUTE 209
ELLENVILLE, NY 12428
(41.726237224000045, -74.38808897199993)"
NYC,SANCHEZ FAMILY DELI GROCERY CORP.,703 PROSPECT AVENUE,BRONX,NY,10455,BRONX,NEW YORK CITY,DELICATESSEN,07/10/2023,"703 PROSPECT AVENUE
BRONX, NY 10455
(40.8162549, -73.903248177)"
ERIE,THE LIMIT SPOT,2050 NIAGARA  STREET,BUFFALO,NY,14207,BUFFALO,ERIE,CONVENIENCE STORE,07/10/2023,"2050 NIAGARA  STREET
BUFFALO, NY 14207
(42.939871425, -78.905281247)"
NYC,ROYAL CLOUDZ CORP,2728A CHURCH AVENUE,BROOKLYN,NY,11226,BRONX,NEW YORK CITY,CONVENIENCE STORE,07/10/2023,"2728A CHURCH AVENUE
BROOKLYN, NY 11226
(40.650643562, -73.951864697)"
45,STEWART'S SHOP #216,1  SARATOGA AVENUE,SOUTH GLENS FALLS,NY,12803,MOREAU,SARATOGA,CONVENIENCE STORE,07/10/2023,"1  SARATOGA AVENUE
SOUTH GLENS FALLS, NY 12803
(43.299035416, -73.635324353)"
ERIE,THE CORNER STORE,2815 DELAWARE  AVENUE,KENMORE,NY,14217,KENMORE,ERIE,DELICATESSEN,07/10/2023,"2815 DELAWARE  AVENUE
KENMORE, NY 14217
(42.961102283, -78.869523713)"
NYC,LES CONVENIENCE,105 AVENUE A,MANHATTAN,NY,10009,NEW YORK CITY,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"105 AVENUE A
MANHATTAN, NY 10009
(40.725882142, -73.983847887)"
HORNELL DO,DOLLAR GENERAL #14692,75 SOUTH MAIN STREET,PRATTSBURGH,NY,14873,PRATTSBURGH,STEUBEN,DISCOUNT STORE,07/10/2023,"75 SOUTH MAIN STREET
PRATTSBURGH, NY 14873
(42.518256922, -77.288990651)"
ERIE,KWIK FILL A0021,9970 MAIN STREET,CLARENCE,NY,14031,CLARENCE,ERIE,CONVENIENCE/GAS,07/10/2023,"9970 MAIN STREET
CLARENCE, NY 14031
(42.976219842, -78.619140926)"
NASSAU,"SUNOCO / GAS STOP, INC.",711 FULTON AVENUE,HEMPSTEAD,NY,11550,HEMPSTEAD,NASSAU,CONVENIENCE/GAS,07/10/2023,"711 FULTON AVENUE
HEMPSTEAD, NY 11550
(40.71292279800008, -73.60791416499995)"
ONONDAGA,KWIK FILL,797 WEST GENESEE STREET,SKANEATELES,NY,13152,SKANEATELES,ONONDAGA,CONVENIENCE/GAS,07/10/2023,"797 WEST GENESEE STREET
SKANEATELES, NY 13152
(42.944553012, -76.447122012)"
NYC,3 SISTERS DELI GROCERY NY CORP.,269 DUMONT AVENUE,BROOKLYN,NY,11212,BROOKLYN,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"269 DUMONT AVENUE
BROOKLYN, NY 11212
(40.66416489, -73.909588751)"
ERIE,LOCAL SMOKE SHOP,42 ALLEN STREET,BUFFALO,NY,14202,BUFFALO,ERIE,OTHER,07/10/2023,"42 ALLEN STREET
BUFFALO, NY 14202
(42.899316173, -78.871583566)"
DUTCHESS,HAPPY HABITS,1177 ROUTE 9,WAPPINGERS FALLS,NY,12590,WAPPINGER,DUTCHESS,TOBACCO RETAIL,07/10/2023,"1177 ROUTE 9
WAPPINGERS FALLS, NY 12590
(41.56836562900003, -73.90900293999994)"
NYC,"FOOD GOURMET DELI-GROCERY, INC.",570 WEST 189TH STREET,NEW YORK,NY,10040,MANHATTAN,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"570 WEST 189TH STREET
NEW YORK, NY 10040
(40.854103677, -73.929845213)"
SARANAC LAKE DO,DOLLAR GENERAL - BLOOMINGDALE,1790 EAST MAIN STREET,BLOOMINGDALE,NY,12913,ST. ARMAND,ESSEX,DISCOUNT STORE,07/10/2023,"1790 EAST MAIN STREET
BLOOMINGDALE, NY 12913
(44.410446349, -74.078839464)"
NASSAU,VALERO / BUSY BEE STORES CORP.,3980 AUSTIN BOULEVARD,ISLAND PARK,NY,11558,HEMPSTEAD,NASSAU,CONVENIENCE/GAS,07/10/2023,"3980 AUSTIN BOULEVARD
ISLAND PARK, NY 11558
(40.612842706, -73.64438039)"
ERIE,GREEN BOYS SMOKE SHOP,3859 UNION ROAD,CKEEKTOWAGA,NY,14225,CHEEKTOWAGA,ERIE,TOBACCO RETAIL,07/10/2023,"3859 UNION ROAD
CKEEKTOWAGA, NY 14225
(42.919400596, -78.753986135)"
NYC,1 TAFT DELI CORP,469 SOUTHWEST 157TH STREET,MANHATTAN,NY,10032,NEW YORK CITY,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"469 SOUTHWEST 157TH STREET
MANHATTAN, NY 10032
(40.832822277, -73.941668223)"
NYC,GREEN DOOR ALTERNATIVE CORP,930 HYLAN BOULEVARD,STATEN ISLAND,NY,10305,STATEN ISLAND,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"930 HYLAN BOULEVARD
STATEN ISLAND, NY 10305
(40.597642502, -74.073355717)"
ONONDAGA,SUNOCO,800 WOLF STREET,SYRACUSE,NY,13208,SYRACUSE,ONONDAGA,CONVENIENCE/GAS,07/10/2023,"800 WOLF STREET
SYRACUSE, NY 13208
(43.077054766, -76.159464231)"
WATERTOWN DO,JOHNSON'S CORNER MART,16 BRIDGE  STREET,WEST CARTHAGE,NY,13619,CHAMPION,JEFFERSON,CONVENIENCE/GAS,07/10/2023,"16 BRIDGE  STREET
WEST CARTHAGE, NY 13619
(43.974103059, -75.615920944)"
NYC,PARK SLOPE BEER INC,302 9TH AVENUE,BROOKLYN,NY,11215,BROOKLYN,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"302 9TH AVENUE
BROOKLYN, NY 11215
(40.669120397, -73.98654862)"
NYC,GAASH INC,916 3RD AVENUE,NEW YORK,NY,10022,MANHATTAN,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"916 3RD AVENUE
NEW YORK, NY 10022
(40.759193921, -73.96853063)"
NYC,B & J EAST HARLEM CANDY CORP,300 EAST 106TH STREET,MANHATTAN,NY,10029,NEW YORK CITY,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"300 EAST 106TH STREET
MANHATTAN, NY 10029
(40.790354442, -73.942181111)"
NYC,STOP & GO MINI MART NY INC,13647 ROOSEVELT AVENUE,FLUSHING,NY,11354,QUEENS,NEW YORK CITY,CONVENIENCE STORE,07/10/2023,"13647 ROOSEVELT AVENUE
FLUSHING, NY 11354
(40.76011417, -73.828444133)"
NYC,ELEVATED CONVENIENCE CORP.,13201 LIBERTY  AVENUE,QUEENS,NY,11419,QUEENS,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"13201 LIBERTY  AVENUE
QUEENS, NY 11419
(40.69070627, -73.814127675)"
NYC,74-39 MEAT CORP.,74-39 JAMAICA AVENUE,WOODHAVEN,NY,11421,QUEENS,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"74-39 JAMAICA AVENUE
WOODHAVEN, NY 11421
(40.691675302, -73.866854037)"
ERIE,7-ELEVEN # 11265 B,281 PARKSIDE  AVENUE,BUFFALO,NY,14214,BUFFALO,ERIE,CONVENIENCE STORE,07/10/2023,"281 PARKSIDE  AVENUE
BUFFALO, NY 14214
(42.937727544, -78.850098485)"
NYC,AKSHAR 108 INC.,64-15 108TH STREET,FOREST HILLS,NY,11375,QUEENS,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"64-15 108TH STREET
FOREST HILLS, NY 11375
(40.732628359, -73.849191439)"
GLENS FALLS DO,STEWART'S SHOP #308,ROUTE 28,JOHNSBURG,NY,12843,JOHNSBURG,WARREN,CONVENIENCE STORE,07/10/2023,"ROUTE 28
JOHNSBURG, NY 12843
(43.686175065, -73.985862451)"
RENSSELAER,ROCKY HILL COUNTRY STORE,17475 NY RTE # 22 ROUTE,CHERRY PLAIN,NY,12040,BERLIN,RENSSELAER,CONVENIENCE STORE,07/10/2023,"17475 NY RTE # 22 ROUTE
CHERRY PLAIN, NY 12040
(42.643111107, -73.360779618)"
SUFFOLK,ROLL UP SMOKE SHOP,747 SUFFOLK AVENUE,BRENTWOOD,NY,11717,ISLIP,SUFFOLK,TOBACCO RETAIL,07/10/2023,"747 SUFFOLK AVENUE
BRENTWOOD, NY 11717
(40.78091903, -73.247793399)"
NYC,HARLEM GROUP J W CORP,886 GERARD AVENUE,BRONX,NY,10452,BRONX,NEW YORK CITY,TOBACCO RETAIL,07/10/2023,"886 GERARD AVENUE
BRONX, NY 10452
(40.828049118, -73.924483226)"
TIOGA,SMOKE SHOP,70 NORTH AVENUE,OWEGO,NY,13827,OWEGO,TIOGA,TOBACCO RETAIL,07/10/2023,"70 NORTH AVENUE
OWEGO, NY 13827
(42.104376853, -76.262687452)"
SCHENECTADY,MIKEY MART,6030 DUANESBURG  ROAD,DUANESBURG,NY,12056,DUANESBURG,SCHENECTADY,CONVENIENCE/GAS,07/10/2023,"6030 DUANESBURG  ROAD
DUANESBURG, NY 12056
(42.76419562, -74.118744393)"
NYC,EZ SMOKE SHOP AND VAPE CORP,849 SAINT JOHNS PLACE,BROOKLYN,NY,11216,BROOKLYN,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"849 SAINT JOHNS PLACE
BROOKLYN, NY 11216
(40.671739197, -73.950003774)"
NYC,STAR SERVICE STATION INC,228-20 MERRICK BOULEVARD,LAUTRELTON,NY,11413,QUEENS,NEW YORK CITY,GAS STATION,07/10/2023,"228-20 MERRICK BOULEVARD
LAUTRELTON, NY 11413
(40.676203524, -73.741785481)"
WESTCHESTER,WARBURTON GROCERY INC.,150 WARBURTON AVENUE,YONKERS,NY,10701,YONKERS,WESTCHESTER,CONVENIENCE STORE,07/10/2023,"150 WARBURTON AVENUE
YONKERS, NY 10701
(40.940036038, -73.897853333)"
ERIE,JAWANI EXPRESS,473 EAST DELEVAN AVENUE,BUFFALO,NY,14214,BUFFALO,ERIE,CONVENIENCE/GAS,07/10/2023,"473 EAST DELEVAN AVENUE
BUFFALO, NY 14214
(42.921465017, -78.83955338)"
NYC,138-15 GREEN JOY CONVENIENCE CORP.,138-15 84TH DRIVE,JAMAICA,NY,11435,QUEENS,NEW YORK CITY,CONVENIENCE STORE,07/10/2023,"138-15 84TH DRIVE
JAMAICA, NY 11435
(40.709358394, -73.818120981)"
SUFFOLK,GULF,107 CARLETON AVE,CENTRAL ISLIP,NY,11722,ISLIP,SUFFOLK,CONVENIENCE/GAS,07/10/2023,"107 CARLETON AVE
CENTRAL ISLIP, NY 11722
(40.78461438900007, -73.20098165099995)"
NASSAU,"COLD CUT EXPRESS / COLD CUT FOODS, INC.",507 DUBOIS AVENUE,VALLEY STREAM,NY,11581,HEMPSTEAD,NASSAU,DELICATESSEN,07/10/2023,"507 DUBOIS AVENUE
VALLEY STREAM, NY 11581
(40.650463538, -73.702154417)"
NYC,THE ALAMO DELICATESSEN INC,239 EAST 181ST STREET,BRONX,NY,10457,BRONX,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"239 EAST 181ST STREET
BRONX, NY 10457
(40.854425501, -73.900336639)"
SUFFOLK,MC DOLLAR EXPRESS,1648 GREAT NECK RD,COPIAGUE,NY,11726,BABYLON,SUFFOLK,STATIONERY STORE,07/10/2023,"1648 GREAT NECK RD
COPIAGUE, NY 11726
(40.679383073000054, -73.39884955099996)"
NYC,1624 SMOKE SHOP CORP,1624 NEWKIRK AVENUE,BROOKLYN,NY,11226,BROOKLYN,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"1624 NEWKIRK AVENUE
BROOKLYN, NY 11226
(40.636177631000066, -73.96171521999997)"
